sentence,target,polarity
"Boehner declined to say if there were circumstances under which he could support a pathway to citizenship, but he made clear that securing the border was a priority.",Boehner,4.0
"Heather Zichal, Obama's senior energy and climate adviser, told environmental groups Monday that Obama is working with Housing and Urban Development Secretary Shaun Donovan on a target for renewable energy to be produced at federally assisted housing projects.",Housing and Urban Development Secretary Shaun Donovan,6.0
"“I saw an interview in which Mr. Snowden claimed that due to his position at NSA he could tap into virtually any American’s phone call or e-mails,” Sen.",” Sen.,4.0
He pressed Alexander for numbers on other incidents.,He,4.0
"While residents of Puerto Rico struggle to get access to basic necessities like potable water and food, President Donald Trump has launched a full-fledged attack on the news media and, even more concerning, San Juan Mayor Carmen Yulín Cruz.",San Juan Mayor Carmen Yulín Cruz,4.0
"“He comes over here with a phony plan and a fake promise,” Gidley said, referring to Schumer, D-N.Y.",Schumer,2.0
Multiple times she interrupted their questions of Alexander about domestic surveillance to plead with them to put off questions on the phone records programs.,she,2.0
"In the end, he concluded that “they help us prevent terrorist attacks.”",they,6.0
"In the end, he concluded that “they help us prevent terrorist attacks.”",he,6.0
He said the government employees involved in America’s national security “take this work very seriously.”,He,6.0
He said the government employees involved in America’s national security “take this work very seriously.”,the government employees involved in America’s national security,6.0
"As of the end of May, the Senate had confirmed 23 percent of Mr. Obama’s 181 nominees to top civilian posts this year.",Mr. Obama,4.0
"Mr. Obama, though, said the Judicial Conference of the United States, which is led by Supreme Court Chief Justice John G. Roberts Jr., recommended in April that the D.C. Circuit keep its full complement of 11 judgeships.",Supreme Court,4.0
He was an anti-smoking crusader and an ardent defender of public funding of Amtrak.,He,6.0
"But he also experienced weakness in his legs throughout the year, and missed several more weeks of votes.",he,4.0
Gibbs: Issa must apologize,Gibbs,4.0
"“Well, first of all, Darrell Issa should call Jay Carney and apologize this morning,” Gibbs said on MSNBC’s “Morning Joe.”",Darrell Issa,2.0
"“I mean, it’s a stunning thing,” Gibbs said of Issa’s charges.",Issa,2.0
"CNN provides some background about Issa’s past: In 1972, then-19-year-old Issa too was arrested under suspicion of stealing a car, but Issa claims it was a case of mistaken identity and the charges were ultimately dropped.",Issa,2.0
I don’t like his policies.,his,2.0
"Story Continued Below Bachmann, 57, who took office in 2007, said in a video posted on her website: “My good friends: After a great deal of thought and deliberation, I have decided next year I will not seek a fifth congressional term to represent the wonderful people of the Sixth District of Minnesota.",Bachmann,4.0
"A proud social conservative, Mrs. Bachmann made an immediate splash in the GOP presidential race by winning the Iowa straw poll in the summer of 2011, boosting her as the conservative alternative to former Massachusetts Gov.",Mrs. Bachmann,6.0
But in recent days she had shown signs of getting her grove back.,she,6.0
"Michele Bachmann was on top of the GOP, having chased Minnesota Gov.",Bachmann,6.0
"Michele Bachmann was on top of the GOP, having chased Minnesota Gov.",Minnesota,4.0
"“It also shows the limits and the inability of the tea party to find a popular platform that could win majorities, and that is what happened to Michelle Bachmann.”",the tea party,2.0
"“The visit of Senator McCain to Syria is very important and very useful especially at this time,” Idris told The Daily Beast.",Senator McCain,6.0
"It was the second time Mr. Obama had addressed the graduates of the academy, most of whom will receive commissions in the Navy, the Marine Corps or the Air Force, and he was welcomed with enthusiastic cheers as he congratulated them on becoming the military’s latest officers.",Mr. Obama,6.0
Mr. Obama has largely ended the war in Iraq and is winding down American involvement in Afghanistan.,Mr. Obama,6.0
Mr. Obama has largely ended the war in Iraq and is winding down American involvement in Afghanistan.,Afghanistan,4.0
He has sought to bring an end to both major overseas wars.,He,6.0
"“And yet I know that some of you at times have enjoyed yourselves at other local institutions like McGarvey’s and Armadillo’s,” he said to cheers.",he,6.0
"Later, Mr. Jordan pressed Mr. Shulman, the former I.R.S. commissioner, on whether he had visited the White House.",the White House,4.0
"“The Easter Egg Roll with my kids,” he said.",he,6.0
"Ms. Lerner has become a person of intense interest to Congressional investigators, who insist that she made, at best, incomplete statements when she said she first learned that her subordinates had singled out Tea Party groups after reading news media reports last year.",Ms. Lerner,2.0
"Issa told Fox News on Thursday that she can't put the genie ""back in the bottle.""",she,2.0
"Issa told Fox News on Thursday that she can't put the genie ""back in the bottle.""",Issa,4.0
Republicans are accusing Lerner of trying to have it both ways.,Lerner,2.0
"Though Issa dismissed her from the hearing room, he questioned at the time whether she had waived her rights by delivering the statement.",Issa,4.0
"He also listed the three other Americans who he said had been incidentally killed in strikes: Samir Khan, Jude Kenan Mohammed and Abderrahman Anwar al-Awlaki, the targeted man’s son.",He,4.0
"This skill puts his fighting ability way above that of a normal person.""",his,6.0
"There was no indication on Wednesday why Mr. Todashev — who, like the Tsarnaevs, was an ethnic Chechen — would have implicated himself and Mr. Tsarnaev in the murders.",Mr. Todashev,2.0
"There was no indication on Wednesday why Mr. Todashev — who, like the Tsarnaevs, was an ethnic Chechen — would have implicated himself and Mr. Tsarnaev in the murders.",Wednesday,4.0
"Miller was contrite as he apologized for the actions of agents who singled out conservative political groups for additional, often burdensome scrutiny.",Miller,2.0
"Lew also defended Sarah Hall Ingram, a commissioner who has been targeted by Republicans for formerly overseeing the tax exempt division before heading to her current post helping the agency implement the health care law.",Lew,6.0
( PHOTOS: 10 slams on the IRS) He added that he found the program to be outrageous.,He,4.0
"“When I learned about it — from the moment I learned about it, I was outraged,” he said.",he,4.0
"Rand Paul sharply attacked former Secretary of State Hillary Rodham Clinton, declaring that her actions in the months leading up to the killing of the U.S. ambassador to Libya last year were ""inexcusable, it was a dereliction of duty, and it should preclude her from holding higher office.""",former Secretary of State Hillary Rodham Clinton,2.0
"Over the ensuing days, Sanford – in TV ads, on the campaign trail, and in a debate — drove home his message.",Sanford,6.0
He challenged Colbert Busch to say how she would differentiate herself from Pelosi.,He,4.0
"Mr. Sanford’s candidacy seemed to be in trouble last month when his ex-wife, Jenny, filed a complaint accusing him of trespassing on her property during the Super Bowl.",Mr. Sanford,2.0
"Mr. Sanford’s candidacy seemed to be in trouble last month when his ex-wife, Jenny, filed a complaint accusing him of trespassing on her property during the Super Bowl.",Sanford,2.0
"Mr. Sanford’s candidacy seemed to be in trouble last month when his ex-wife, Jenny, filed a complaint accusing him of trespassing on her property during the Super Bowl.",him,2.0
"“The president wants to go out there and crow about the fact that the economy is growing -- barely,” Boehner said.",The president,2.0
"Ms. Berry, who is now 27, was last seen leaving her job at a Cleveland Burger King in April 2003.",her,4.0
"Listen to the purported “frantic” 911 call of Amanda Berry following her rescue via WTAM 1100: Cheering crowds gathered Monday night on the street near the home where police said Amanda Berry, Gina DeJesus and Michele Knight were found earlier in the day.",DeJesus,6.0
"In January, a prison inmate was sentenced to 4 1/2 years after admitting he provided a false burial tip in the disappearance of Berry, who had last been seen the day before her 17th birthday.",Berry,4.0
"LaPierre dismissed Obama’s calls for more gun legislation, pointing out that his hometown of Chicago has been suffering from a nearly unending wave of violence.",Obama,2.0
"He said Chicago ranks last in enforcement of federal gun laws, but that no journalist would dare question that, in part because they “still have Obama bumper stickers on their cars.”",Chicago,2.0
"Former Democratic National Committee Chairman Howard Dean was endorsed by the NRA in each of his six statewide runs for governor of Vermont, something he touted when he ran for president in 2004.",the NRA,4.0
"""Penny is one of our countries' most distinguished business leaders.",Penny,6.0
She's also chairwoman of Pritzker Realty Group.,Pritzker,4.0
She's also chairwoman of Pritzker Realty Group.,She,6.0
"With Ms. Pritzker, Mr. Obama would bring a woman and a voice for business interests into a cabinet that has been criticized in the past as having too few of either.",Mr. Obama,6.0
> Congratulations to Roy Moore on his Republican Primary win in Alabama.,Roy Moore,6.0
Ayotte also offered to speak additionally with Lafferty and said she respected her differing viewpoint on background checks.,Lafferty,6.0
Ayotte also offered to speak additionally with Lafferty and said she respected her differing viewpoint on background checks.,Ayotte,6.0
Mr. Obama and Mr. Bush have more in common than either might admit.,Mr. Bush,4.0
"""I like President Bush,"" Clinton added later, noting the two appear together often on the lecture circuit.",President Bush,6.0
"""There was a time in my life when I wasn't likely to be found at a library, much less found one,"" Bush quipped, before thanking his predecessors and successor for the ""kind words"" and the ""examples you set."" Bush thanked his mother Barbara Bush for teaching him to live life to the fullest, and his father, the 41st president, for ""teaching me how to be a president ... and how to be a man.""",Bush,6.0
"Bush addressed his vice president, Dick Cheney, who was in attendance, saying he was ""proud to call you friend.""",Bush,6.0
He did treat them with contempt.,He,2.0
I sort of gave him background.”,him,4.0
"Boston Marathon bombing suspect Dzhokhar Tsarnaev will not immediately be read his Miranda rights before he is questioned by investigators, U.S. government officials confirmed to multiple news networks.",Dzhokhar Tsarnaev,2.0
"Boston Marathon bombing suspect Dzhokhar Tsarnaev will not immediately be read his Miranda rights before he is questioned by investigators, U.S. government officials confirmed to multiple news networks.",he,2.0
"This means Tsarnaev can be questioned immediately without being officially warned of his right to remain silent, his right to an attorney, and the caution that anything he says can be used against him in trial.",Tsarnaev,4.0
"With the second suspect in the case, Tsarnaev’s brother, Tamerlan Tsarnaev, 26, fatally shot in a gun battle with police early this morning, Boston Police Commissioner Edward F. Davis said, citizens “can be confident that the threat has been removed.”",Tsarnaev,2.0
The Maine senator voted against Sen.,The Maine senator,4.0
"“They think they’ve lost it already and they’ve sort of thrown in the towel, including my fellow radio hosts.”",They,2.0
"“They are an embarrassment to this country, that they don’t have any compassion or care for people who have been taken brutally from their families,” Maisch said as officers attempted to remove her from the building.",They,2.0
"When a clerk called his name, Lautenberg shouted “Aye!”",Lautenberg,4.0
"“With a record like that, I see no reason to bet against Senator Manchin today.",Senator Manchin,6.0
He will continue to explain his bill to his colleagues and anyone with concerns until the minute they vote.”,He,6.0
"Union President Chris Crane said Friday an outline of the legislation shows legalization before border enforcement, which means Rubio has not followed through on his “commitment to the American people” and that he should leave the bipartisan group.",Rubio,2.0
"Rubio told “Fox News Sunday” that anybody living illegally in the United States and attempting to get a visa would face a long list of qualifications, which includes paying taxes, a fine and an application fee as well as having a job and waiting for at least 10 years.",Fox,4.0
Fryer called it “the most surprising result of my career.”,Fryer,4.0
"As more than 100 NFL players protested during the singing of America’s national anthem across the country Sunday, what had been a small protest of the way police treat African-Americans turned into a much larger protest directed at President Trump.",America,4.0
"That would have been an opportunity for him to ask himself, Black Lives Matter and Kaepernick why they were drawn to the false narrative of killer cops.",Kaepernick,2.0
"“I haven’t made a final decision on that,” Mr. Pryor said.",Mr. Pryor,4.0
"Abroad, she won new esteem for a country that had been in decline since its costly victory in World War II. After leaving office, she was honored as Baroness Thatcher of Kesteven.",she,6.0
"To Mrs. Thatcher, they could not be more wrong.",Mrs. Thatcher,4.0
"""Prime Minister Thatcher is a great example of strength and character, and a great ally who strengthened the special relationship between the United Kingdom and the United States,"" Bush said in a statement.",Thatcher,6.0
"Former British Prime Minister Margaret Thatcher, an outspoken woman known to many as ""The Iron Lady,"" has died at 87 after suffering a stroke.",Thatcher,4.0
"I don’t understand why United States senators want to block debate when the leader has said we can have amendments,"" he said.",he,4.0
"“It can get done, but what’s it’s going to require is for Republicans not to filibuster,” he said.",he,4.0
"Upon hearing that Mr. Trump had disinvited Stephen Curry of the Golden State Warriors from the traditional White House ceremony honoring championship teams, Mr. James said on Twitter: “U bum,” adding, “Going to White House was a great honor until you showed up!”",Trump,2.0
"The former N.F.L. coach Rex Ryan, who introduced Mr. Trump at a rally during the campaign, was furious and bitter at now being tied to Mr. Trump.","The former N.F.L. coach Rex Ryan, who introduced Mr. Trump at a rally during the campaign",2.0
"The former N.F.L. coach Rex Ryan, who introduced Mr. Trump at a rally during the campaign, was furious and bitter at now being tied to Mr. Trump.",Mr. Trump,2.0
Here is Rubio’s full statement: “I’m encouraged by reports of an agreement between business groups and unions on the issue of guest workers.,Rubio,4.0
"Rubio, a Cuban-American who is weighing a presidential bid in 2016, is a leading figure inside his party.",Rubio,6.0
"He offered an apology of sorts later, saying the term was used commonly in his youth.",He,2.0
"He offered an apology of sorts later, saying the term was used commonly in his youth.",the term,2.0
The apology came after House Speaker John Boehner and other Republican Party leaders denounced Young on Friday for using the term.,Young,2.0
"""Congressman Young's remarks were offensive and beneath the dignity of the office he holds.","""Congressman Young",2.0
"“I don’t see why he doesn’t have the courage of his convictions,” the chief justice said.",he,2.0
"He said Mr. Obama should have stopped enforcing a statute he viewed as unconstitutional “rather than saying, ‘Oh, we’ll wait till the Supreme Court tells us we have no choice.’",Mr. Obama,2.0
J Kennedy suggests it violates states’ rights; 4 other Justices see as gay rights.,it,2.0
"— SCOTUSblog (@SCOTUSblog) March 27, 2013 @nprpolitics our 80% number accounts for Justice Kennedy not being completely decisive.",Justice Kennedy,2.0
"— SCOTUSblog (@SCOTUSblog) March 27, 2013 @nprpolitics our 80% number accounts for Justice Kennedy not being completely decisive.",SCOTUSblog,4.0
"Rove's comment was part of a panel discussion on ABC's ""This Week.""",Rove,4.0
(PHOTOS: 25 gay marriage milestones) One GOP fundraising operative said Portman’s announcement could provide a fundraising boost to the debt-saddled NRSC.,GOP,4.0
(PHOTOS: 25 gay marriage milestones) One GOP fundraising operative said Portman’s announcement could provide a fundraising boost to the debt-saddled NRSC.,Portman,6.0
"“I would consider supporting legislation similar to that offered by my friends Senators Graham and [Bill] Cassidy were it the product of extensive hearings, debate and amendment,” he said.",he,6.0
"Entering the stage to a standing ovation and showing a video montage of his opponents' attacks, LaPierre delivered a fiery rebuttal that garnered a half-dozen standing ovations from the staunchly conservative, and generally young, crowd at CPAC.",LaPierre,6.0
"“We will not be demonized, and we will not be silent,” he said.",he,4.0
"UPDATE: 3/15 9:15 a.m. -- Portman has penned an column for the Columbus Dispatch explaining his reversal: ""I have come to believe that if two people are prepared to make a lifetime commitment to love and care for each other in good times and in bad, the government shouldn’t deny them the opportunity to get married,"" he writes.",two people,6.0
"UPDATE: 3/15 9:15 a.m. -- Portman has penned an column for the Columbus Dispatch explaining his reversal: ""I have come to believe that if two people are prepared to make a lifetime commitment to love and care for each other in good times and in bad, the government shouldn’t deny them the opportunity to get married,"" he writes.",Portman,6.0
"According to the Associated Press, Portman’s evolution on the issue began in 2011 when his son, Will, told his parents that he is gay.",Portman,6.0
"According to the Associated Press, Portman’s evolution on the issue began in 2011 when his son, Will, told his parents that he is gay.",the issue,4.0
"“Senators Alexander and Murray have been negotiating in good faith to fix some of the problems with Obamacare,” said McCain.",Senators Alexander and Murray,6.0
"“Far from making remarks of any persuasive power that can be viewed to be helpful to defuse tension, he made unprecedented rude nonsense one has never heard from any of his predecessors.”",he,2.0
"He added that he was “thinking hard” about his response, but vowed that Trump would “pay dearly for his speech calling for totally destroying” North Korea.",He,2.0
"He added that he was “thinking hard” about his response, but vowed that Trump would “pay dearly for his speech calling for totally destroying” North Korea.",North Korea,2.0
His lengthy criticism of Trump ended: “I will surely and definitely tame the mentally deranged US dotard with fire.”,Trump,2.0
"Paul Ryan (R-Wis.) will release his latest budget blueprint, which he previewed on Sunday.",Paul Ryan (R-Wis.),4.0
"Former Florida governor Jeb Bush (R) said Obama won reelection by ""dividing the country.""",Obama,2.0
And he expressed optimism about an eventual Hill deal.,he,4.0
".Kevin McCarthy, R-Calif.,  (AP) After a week of President Obama extending lunch and dinner invites to congressional Republicans, ahead of the next budget battle, party leaders are expressing cautious optimism about the president being sincere – not just leading a so-called charm offensive.",President Obama,6.0
"Ryan said the focus of the ObamaCare repeal would be to stop the expansion of Medicaid, the federal program that provides medical services to low-income U.S. families.",Ryan,2.0
"""Kim Jong Un of North Korea, who is obviously a madman who doesn't mind starving or killing his people, will be tested like never before!""",Kim,2.0
"In his first television interview since the election, the former Massachusetts governor and Republican presidential nominee told Chris Wallace on “Fox News Sunday” that he was convinced he’d win until Ohio’s vote came in, and that he damaged his campaign by failing to attract black and Hispanic voters and speaking too freely in his infamous “47 percent” comments.",he,2.0
"Story Continued Below Romney’s wife, Ann, blamed the media and Obama’s campaign for offering what she described as an unfairly skewed vision of her husband.",Obama,2.0
"“It was a very unfortunate statement,” Romney told Fox.",Fox,4.0
I didn't express myself as I wished I would have.,myself,2.0
"In the interview, which was taped Thursday and aired Sunday, Romney also said he and his campaign underestimated the appeal of Obama's new health care law to low-income voters.",Obama,6.0
"In the interview, which was taped Thursday and aired Sunday, Romney also said he and his campaign underestimated the appeal of Obama's new health care law to low-income voters.",Sunday,4.0
"Mitt Romney, the 2012 Republican presidential nominee, gave an unflinching review Sunday of his unsuccessful campaign, admitting his shortcomings and disappointments but vowing to remain a force in American politics.",Sunday,4.0
"Mitt Romney, the 2012 Republican presidential nominee, gave an unflinching review Sunday of his unsuccessful campaign, admitting his shortcomings and disappointments but vowing to remain a force in American politics.",his,2.0
"Mr. Obama has made supporting same-sex marriage a central theme in his recent speeches, including his second inaugural address, and has often stated that Americans ought to have equal rights, “no matter who you love.”",Mr. Obama,6.0
The Obama administration's friend-of-the-court brief marked the first time a U.S. president has urged the high court to expand the right of gays and lesbians to wed.,Obama,6.0
"And Mr. Woodward responded to this aide's email in a friendly manner.""",Mr. Woodward,6.0
"“It is my hope … that he will sit down with everyone on the committee, and that we do what’s best for our Department of Defense going forward,” Ayotte said.",Ayotte,4.0
Hagel has a challenge to prove to people that he’s up for the job.”,Hagel,4.0
"“[We] do believe that, as a result of this battle, Mr. Hagel will be less free to pursue dangerous policies at the Defense Department and less inclined to advocate them within the administration.”",Mr. Hagel,2.0
"“[We] do believe that, as a result of this battle, Mr. Hagel will be less free to pursue dangerous policies at the Defense Department and less inclined to advocate them within the administration.”",them,2.0
Jeff Sessions of Alabama — who once said he had “dramatic concern” about Hagel’s opposition to nuclear weapons and voted against him on Tuesday.,Hagel,4.0
"Hagel's exemplary record of service to his country remains untarnished.""",Hagel,6.0
"Opponents were particularly incensed by Hagel's use of the term ""Jewish lobby"" to refer to pro-Israel groups.",Hagel,2.0
"Hagel's halting and inconsistent performance during some eight hours of testimony at this confirmation hearing last month undercut his cause, but it wasn't a fatal blow.",his,2.0
"Hagel's halting and inconsistent performance during some eight hours of testimony at this confirmation hearing last month undercut his cause, but it wasn't a fatal blow.",Hagel,2.0
"Though Hagel is himself a former Republican senator, the resistance to his nomination showed an unusual level of distrust among many senators toward the man chosen to lead the Defense Department -- at a time when the country is trying to wind down the Afghanistan war, while assessing emerging threats from Iran, Syria and elsewhere in the turbulent Middle East and North Africa.",Hagel,2.0
"Though Hagel is himself a former Republican senator, the resistance to his nomination showed an unusual level of distrust among many senators toward the man chosen to lead the Defense Department -- at a time when the country is trying to wind down the Afghanistan war, while assessing emerging threats from Iran, Syria and elsewhere in the turbulent Middle East and North Africa.",Iran,2.0
"Bill Cassidy, Louisiana Republican.","Bill Cassidy, Louisiana Republican",4.0
Republicans aren’t voting for Graham-Cassidy.,Graham-Cassidy,2.0
Even many Democrats and media commentators didn't bother sugarcoating Hagel's dreadful performance.,Hagel,2.0
President Obama takes the liberal view; Marco Rubio the conservative view.,Marco Rubio,4.0
"Ted Cruz, Texas Republican, made a plea for that information, wondering at Tuesday’s committee meeting whether Mr. Hagel might have taken money from governments that aren’t friendly to the U.S. “We do not know, for example if he received compensation for giving paid speeches at extreme or radical groups,” he said Tuesday.",Mr. Hagel,2.0
And polls suggest most of his big proposals have broad public support.,his,6.0
McCain slammed Hagel’s performance as “the worst I have seen of any nomination for office” and said it was “disturbing” that Hagel would not directly respond to his question about whether the Iraq surge was a success.,Hagel,2.0
McCain slammed Hagel’s performance as “the worst I have seen of any nomination for office” and said it was “disturbing” that Hagel would not directly respond to his question about whether the Iraq surge was a success.,McCain,4.0
"Ted Cruz (R-Texas) had ""gone over the line"" and ""basically ... impugned the patriotism of the nominee” by pointing out that the Iranian Foreign Ministry had praised Hagel.",Ted Cruz (R-Texas),2.0
"Bill Nelson, D-Fla., said Cruz had ""gone over the line"" and ""impugned the patriotism"" of Hagel, a claim Cruz denied.",Hagel,4.0
Hagel seemed ill-prepared under withering cross-examination from committee Republicans in nearly eight hours of testimony on Jan. 31.,Hagel,2.0
"Further, they panned what was widely regarded as a rocky performance by Hagel during his recent confirmation hearing.",they,4.0
"""His performance before this committee was the worst that I have seen for any nominee for office,"" Sen.",His,2.0
"""His performance before this committee was the worst that I have seen for any nominee for office,"" Sen.",Sen.,4.0
Obama irritated Republicans with his unapologetically liberal inaugural address — and the lack of any perceived olive branch quickly became the news.,Obama,2.0
He’s in great political shape.,He,6.0
I don’t think he’s going to do anything serious [on spending].,he,2.0
Obama got the tax increases he wanted -- with no corresponding spending cuts.,Obama,2.0
And a news release from the speaker’s office had the headline: “White House Outlines Devastating Consequences of President Obama's Sequester.”,President Obama,2.0
"And yet, none of Mr. Obama’s aides were willing to say that the president regretted signing the law that put the sequestration plan into effect.",Mr. Obama,2.0
"And yet, none of Mr. Obama’s aides were willing to say that the president regretted signing the law that put the sequestration plan into effect.",the president,2.0
Some Democrats who denounced Bush are now cheering on Barack Obama.,Bush,2.0
"Immediately after the November election, Graham called Sen.",Graham,4.0
His rebound helped the government avoid a potential default on financial obligations.,His,6.0
"Republicans, Democrats, and Independents,"" Reid said.",Reid,4.0
Kelly and Giffords have formed a political action committee called Americans for Responsible Solutions to back lawmakers who support tighter gun restrictions and counter the influence of the NRA.,Kelly,6.0
"""That is completely and totally unacceptable,"" said LaPierre, who suggested fixing the country's ""broken"" mental-health system become part of the solution to gun violence -- including making patient records part of the National Instant Criminal Background Check System.",LaPierre,2.0
"""That is completely and totally unacceptable,"" said LaPierre, who suggested fixing the country's ""broken"" mental-health system become part of the solution to gun violence -- including making patient records part of the National Instant Criminal Background Check System.",the country,2.0
The reform effort will require an unprecedented outpouring of public support and pressure on Congress — a national drive that President Obama needs to make unrelenting and well-organized.,The reform effort,6.0
The reform effort will require an unprecedented outpouring of public support and pressure on Congress — a national drive that President Obama needs to make unrelenting and well-organized.,President Obama,6.0
"But he admits, “We need to accept the reality that we are not doing enough to protect our citizens.”",We,2.0
Mr. Reid aims to have legislation shaped by the Judiciary Committee for floor debate that will be freely open to amendment.,Mr. Reid,6.0
"Last year, he tweeted that the U.N. had great potential but had become “a club for people to get together, talk and have a good time.",he,4.0
"“And that’s not an unjustifiable view,” he said.",he,4.0
The president said he has a profound respect for the traditions of hunting that date back for generations.,he,6.0
"In 2011, Mr. Priebus inherited a party that was deeply in debt, but he has turned around the committee’s finances, which members said explained why he had no serious opposition.",Mr. Priebus,6.0
"In 2011, Mr. Priebus inherited a party that was deeply in debt, but he has turned around the committee’s finances, which members said explained why he had no serious opposition.",a party that was deeply in debt,2.0
"“To those who have left the party, we want to earn your trust again,” Mr. Priebus will say in his acceptance speech on Friday, according to excerpts released by his aides.",Mr. Priebus,6.0
"“To those who have left the party, we want to earn your trust again,” Mr. Priebus will say in his acceptance speech on Friday, according to excerpts released by his aides.",Friday,4.0
"Democrats are united on one point: For any legislation to reach the Senate floor, Mr. Obama will have to put the full weight of his office and bully pulpit behind it.",it,4.0
"Considered among the most liberal members of the Senate, Franken nevertheless represents a state with a strong gun-rights culture and one where both parties are well-represented - he is up for re-election in 2014.",Franken,4.0
"“This is our first task as a society, keeping our children safe,” Mr. Obama said.",Mr. Obama,6.0
"“Under President Obama, we have seen record-setting deficit spending and trillions added to our nation’s debt.",President Obama,2.0
"“If he opposed the policies, what did he do about it?” she asked.",she,4.0
Morell moved into the slot after David Petraeus resigned upon admitting an extra-marital affair with his biographer and reserve Army officer Paula Broadwell.,Morell,4.0
Brennan was considered to be a contender for the job four years ago when Obama was first assembling his intelligence and national security team.,Brennan,6.0
The CIA is currently led by Acting Director Mike Morell.,Acting Director Mike Morell,4.0
John Brennan nominated to lead CIA,CIA,4.0
… He is one of the hardest-working public servants I’ve ever seen.,He,6.0
Brennan said taking over the CIA would be the pinnacle of his career.,Brennan,6.0
Obama aides said Brennan would be able to make a seamless transition to the CIA.,Brennan,6.0
"Updated 01/07/2013 02:45 PM EST President Barack Obama on Monday nominated the White House’s point person on counterterrorism, John  Brennan, to be the next director of the Central Intelligence Agency.",EST President Barack Obama,4.0
"But times have changed, President George W. Bush is gone, and before the bill’s final passage late Tuesday, House Republican leaders struggled all day to quell a revolt among caucus members who threatened to blow up a hard-fought compromise that they could have easily framed as a victory.",House Republican leaders,2.0
"The developments late Friday, though, at least showed Reid and McConnell were beginning to work together.",Reid and McConnell,6.0
Mr. McConnell spent much of the day in his office.,Mr. McConnell,4.0
Obama foes have debated whether Rice knowingly misled the public or was simply sticking to the talking points.,Rice,2.0
"It’s a tricky task, but as Rice learned and Obama has been taught again, Clinton is not someone to be underestimated.",Clinton,6.0
"John Bolton, former U.N. ambassador under President George W. Bush, suggested Clinton fabricated a ""diplomatic illness"" in order to dodge her scheduled testimony.",Clinton,2.0
"The State Department criticized Bolton's ""completely untrue"" comments.",Bolton,2.0
"State Department spokeswoman Victoria Nuland told reporters Bolton is ""not privy to any inside information"" and referred to his remarks as ""wild speculation.""",State Department,4.0
"State Department spokeswoman Victoria Nuland told reporters Bolton is ""not privy to any inside information"" and referred to his remarks as ""wild speculation.""",Bolton,2.0
"Popular opinion has long been on Obama's side, as polls have consistently shown that the public favors higher taxes on higher incomes.",Obama,6.0
"Boehner said he remains ""hopeful"" a deal can be reached, but said Obama has an ""obligation"" to put forward a new and specific plan if he objects to the plan Republicans proffered last week.",Boehner,6.0
"Nancy Monahan, 57, a retired petty office with the Coast Guard, waited outside before the weddings began with her partner of 14 years, Deb Needham, 48.","Nancy Monahan, 57, a retired petty office with the Coast Guard",4.0
"Story Continued Below ( Also on POLITICO: Obama, Boehner meet at White House) Although they met Sunday for the first time in more than three weeks — signaling a new, potentially more productive stage of the negotiations — there was no progress on the staff level ahead of that sit-down, according to Democratic and Republican sources.",they,6.0
"He went on: “Here’s what I told him, I said, ‘Mr. President, you’re much better off if you sometimes step right and you sometimes step left.",He,4.0
He said the framework reminded him of the outline Mr. Boehner and Mr. Obama had been working on during last summer’s debate on raising the debt ceiling.,Mr. Boehner,4.0
"“That’s not a good place to start, I wouldn’t think,” the Texas Republican said, adding that he understands what Mr. Boehner is trying to do, but that every time he extends a hand to the White House, it gets slapped back.",Mr. Boehner,2.0
"Schweikert spokeswoman Rachel Semmel said the congressman is ""going to continue to fight for the same principles he's fought for on the committee.""",he,6.0
"Jones told reporters he was disappointed and ""somewhat"" surprised -- but not angry -- that he had lost his spot on the Financial Services Committee, chalking it up to the times he's voted against Boehner.",Boehner,2.0
"Amash, Huelskamp and Schweikert are popular with the conservative movement, while Jones has made a name for himself by speaking out against U.S. involvement in Afghanistan.",Jones,6.0
"Obama's tax plan calls for an extension of the existing tax rates for most Americans – individuals earning $200,000 or more and couples earning $250,000 and up -- while allowing for tax rates to increase for the 2 percent who earn more.",Obama,4.0
"“There are no shortage of pens in the White House, and I carry one around for an emergency, just in case,” he said.",he,4.0
( Also on POLITICO: John Boehner declares stalemate) Obama struck a playful tone throughout his speech at a toy factory to warn Americans that they could be in for a “lump of coal” for Christmas if Congress fails to extend current middle-class tax rates.,Christmas,4.0
He’s not the only one to miss out.,He,2.0
"“He was very gracious,” Bush said, after the counting was finished in Ohio and Kerry conceded.",the counting was finished in Ohio and Kerry,6.0
The White House sees Obama's victory as a signal that Americans support his tax proposals.,Obama,6.0
"The White House says President Obama's lunch with Republican Mitt Romney focused on America's leadership and the two presidential rivals pledged to stay in touch, particularly if opportunities to work together come up in the future.",Mitt Romney,6.0
The White House said Romney congratulated the president for his successful campaign and wished him well in the coming four years.,Romney,6.0
"They said they were willing to raise tax revenue by closing loopholes and limiting deductions, but Mr. Obama has not reciprocated with more restraint of entitlement programs.",Mr. Obama,2.0
"“He is committed, every time he talks about this, to a balanced approach that includes both, you know, revenues, spending cuts and savings through entitlement reforms,” said Jay Carney, the White House press secretary.",He,6.0
They also say the president’s plan to extend tax cuts only to middle-class Americans will not generate enough revenue to significantly reduce the deficit.,the deficit,2.0
"On Monday, through his spokesman, Mr. Morsi again tried to explain his intentions, saying he would work within judicial precedents to hold back efforts to dissolve the constituent assembly, rather than putting his power above judicial scrutiny.",Monday,4.0
