sentence,gold,predicted,gold_rank,error_type,predicted_score,gold_score
That would be the space as yet unfilled by a candidate who can blend measured outrage at the thought of terrorism returning to U.S. soil with a concrete strategy of force and stick-to-itiveness – all in a manner less nativist and more deduced than what Trump floated.,Trump,That,2,OTHER,0.7503854441797717,0.6171540203412051
"With Mr. Cruz surging into first place in two recent Iowa polls and terrorism emerging as the top issue, Mr. Rubio is likely to step up his assault on Mr. Cruz for his support of guest-worker visas and of restrictions on some domestic surveillance programs.",Mr. Cruz,Cruz,4,SMALLER_SPAN,0.8682172054792237,0.8093019879961831
"Mr. Rubio and Mr. Cruz can also expect to come under attack from Mr. Christie, who has staked his fortunes on doing well in New Hampshire.",Mr. Rubio,"Rubio and Mr. Cruz can also expect to come under attack from Mr. Christie, who has staked his fortunes on doing well in New Hampshire",6,OTHER,0.9999999997815996,0.8396364506129521
"Obama’s unilateral moves did clear the path for Paris: The U.S. commitment to lower emissions is based on the new power-plant emissions regulations imposed by the EPA earlier this year, and Obama cited the need to have credibility going into the talks as a key factor in his decision to reject the Keystone XL pipeline last month.",Obama,Obama,1,CORRECT,0.9429084158413071,0.9429084158413071
"According to Clinton's memoirs, they barged into a secret meeting called by the Chinese in an apparent effort to isolate the U.S., with Obama calling out ""Mr. Premier!"" to force Premier Wen Jiabao to include them in the discussion.",they,Clinton,7,OTHER,0.8934749391269288,0.34229218406456635
"___ This story has been corrected to show the correct second reference to Jim Yong Kim is Kim, not Jim.",Kim,"Jim Yong Kim is Kim, not Jim",2,LARGER_SPAN,0.9954466109110547,0.889418369022863
"While Republican voters were most likely to say they were excited (24 percent) or optimistic (41 percent), a full one-third of Republicans say they are concerned or scared about Mr. Trump.",Mr. Trump,Trump,2,SMALLER_SPAN,0.7264082726421792,0.6357555408955691
Mrs. Clinton's base views her potential presidency more favorably than does Mr. Trump's.,Mrs. Clinton,Trump,4,OTHER,0.9342367103033846,0.8662943766986281
"Republican presidential front-runner Donald Trump has surged to his highest-ever standing in CBS News/New York Times polling, hitting 35 percent in a survey released Thursday.",Republican presidential front-runner Donald Trump,CBS News/New York Times,14,OTHER,0.8978507552729561,0.1446455795006191
"Jeb Bush, meanwhile, was at 3 percent — his lowest percentage in CBS News polling.",CBS News,Jeb Bush,2,OTHER,0.8939231958938829,0.7980540645621516
"The statement said this is the first complaint regarding Lauer's behavior the company has received ""in the over 20 years he's been at NBC News.""",NBC,Lauer,11,NER_VS_SUBSPAN,0.8833555909620228,0.06071315438552588
"Matt Lauer on the ""Today"" show Tuesday, Nov. 21, 2017.",Matt Lauer,"Matt Lauer on the ""Today"" show Tuesday, Nov. 21",2,LARGER_SPAN,0.9994645426507311,0.8857066715679992
"Senator Rand Paul of Kentucky has been one of the harshest critics of Mr. Trump, but on Monday his campaign quietly distanced himself from him.",Mr. Trump,"Rand Paul of Kentucky has been one of the harshest critics of Mr. Trump, but on Monday his campaign quietly distanced himself from him",5,LARGER_SPAN,0.9999999975920848,0.7749015480146494
"Besides his “Today” perch, Mr. Lauer was a genial co-host of events like the Macy’s Thanksgiving Parade and the Winter and Summer Olympics, and he conducted countless interviews with celebrities.",Mr. Lauer,Lauer,3,SMALLER_SPAN,0.8401686487738912,0.7750902479947496
"One complaint came from a former employee who said Mr. Lauer had summoned her to his office in 2001, locked the door and sexually assaulted her.",Mr. Lauer,"Lauer had summoned her to his office in 2001, locked the door and sexually assaulted her",3,OTHER,0.9999912778371097,0.7808201586688278
"Yet in a meeting with Turkish President Recep Tayyip Erdogan, Obama also vouched for the NATO ally's right to self-defense, and he pledged a solid U.S. commitment ""to Turkey's security and its sovereignty.""",Obama,"Recep Tayyip Erdogan, Obama also vouched for the NATO ally's right to self-defense",2,LARGER_SPAN,0.9951193911199523,0.8276568600959379
"“Here in Paris, we can show the world what’s possible when we come together united by common effort and with a common purpose,” Obama said.",Paris,Obama,2,OTHER,0.8234444587589169,0.6560232323706103
"But if we act here, now, if we place our short-term interests behind the air that our children will breathe and the water our children will drink,” Obama said, “then we will not be too late for them.”",we,"Obama said, “then we will not be too late for them",4,LARGER_SPAN,0.9995288228712214,0.4540155333162517
"But if we act here, now, if we place our short-term interests behind the air that our children will breathe and the water our children will drink,” Obama said, “then we will not be too late for them.”",Obama,"Obama said, “then we will not be too late for them",3,LARGER_SPAN,0.9995288228712214,0.7943112297034559
Dana Perino: My Thanksgiving do's and don'ts for talking politics around the table,Dana Perino,Dana Perino,1,CORRECT,0.8370667917535397,0.8370667917535397
"Editor's note: Fox News' Dana Perino, co-host of ""The Five"" and a weekly guest on Fox Business Channel's ""Kennedy"" shares her do's and don'ts with Fox News Opinion this week on how to gracefully navigate conversations about politics at the Thanksgiving table.",Dana Perino,Fox News' Dana Perino,3,LARGER_SPAN,0.7500865703386431,0.7171261465939232
"A website Peters helped create for the 400th anniversary of the Pilgrims' arrival puts it even more bluntly: ""The graveyard of [Tisquantum's] people became Plymouth Colony.""",Tisquantum,Peters,3,OTHER,0.8232011812903911,0.7034594675378977
"""He looks at this guy and smells trouble,"" Mann said.",Mann,Mann,1,CORRECT,0.9031594268843428,0.9031594268843428
"Al Franken, D-Minn., Pelosi's remarks raised questions about the credibility of the party's messaging and the degree to which its elected leaders are willing to put the protection of women ahead of political considerations.",Pelosi,Al Franken,2,OTHER,0.8177896433049743,0.7663482275322998
"""There is no doubt that Nancy Pelosi is a feminist and that she has stood by women,"" Konst said, ""but this is a moment when we really need to say, 'How are we going to look back on this in 20 years?'""",she,"Nancy Pelosi is a feminist and that she has stood by women,"" Konst said",6,LARGER_SPAN,0.99997160651262,0.37393262436753955
"Pelosi's comments were criticized as tone-deaf and a bad flub — one that diluted the message that Democrats want to be sending on sexual misconduct, particularly in light of Roy Moore's Senate campaign in Alabama and President Donald Trump's support for him.",Pelosi,Donald Trump,4,NER_VS_SUBSPAN,0.7237714364516873,0.5318717934186515
"The source said the strike took place shortly after Emwazi came out of a building in Raqqa, when he was ""ID'd and engaged.""",Raqqa,"Emwazi came out of a building in Raqqa, when he was ""ID'd and engaged",3,LARGER_SPAN,0.999972504783132,0.6337725324185423
"“When we face the same enemy,” Captain Zaki said, “we need to put our political differences to the side.”",Captain Zaki,"Zaki said, “we need to put our political differences to the side",3,OTHER,0.9997972936483565,0.4885279525505651
"“When we face the same enemy,” Captain Zaki said, “we need to put our political differences to the side.”",we,"Zaki said, “we need to put our political differences to the side",4,LARGER_SPAN,0.9997972936483565,0.4656637139042454
It's a stance that will no doubt please many Republicans but have others wishing he'd continue to maintain his respectful silence.,he,It,2,OTHER,0.9136030482225044,0.6337210442064954
“I am proud to have served with Dick Cheney and Don Rumsfeld.,Dick Cheney,Dick Cheney,1,CORRECT,0.8292150172171241,0.8292150172171241
“I am proud to have served with Dick Cheney and Don Rumsfeld.,Rumsfeld,Dick Cheney,7,NER_VS_SUBSPAN,0.8292150172171241,0.22575122777039763
"“He’s my son, he did his best and I’m for him,” Bush said.",Bush,Bush,1,CORRECT,0.8994903679730757,0.8994903679730757
John Conyers and even questioning those accusing him of sexual harassment during a Sunday interview.,Conyers,John Conyers,7,LARGER_SPAN,0.7972323171802688,0.2662395692902337
John Conyers and even questioning those accusing him of sexual harassment during a Sunday interview.,Sunday,John Conyers,6,OTHER,0.7972323171802688,0.30724555948265325
"Pelosi, D-Calif., touted Conyers, D-Mich., on NBC’s “Meet the Press” as an American icon.",Pelosi,Conyers,3,OTHER,0.738411980969142,0.7067975697983772
He will do the right thing.”,He,He,1,CORRECT,0.8513458415735394,0.8513458415735394
"According to a new WSJ/NBC News poll, Carson is leading Trump by six points.",Carson,Trump,2,OTHER,0.8701416471976101,0.8505226262841897
"A CBS/New York Times poll conducted Oct. 21 to Oct. 25, which, like the NBC/WSJ survey, used live interviewers, also showed Carson ahead, with a 4-point edge over Trump.",Carson,Oct. 21 to Oct. 25,3,OTHER,0.9684863479308647,0.7824655245642975
"The results represent a gain of 7 percentage points for Carson since the last NBC/Wall Street Journal survey in mid-October, and a 2-point decline for Trump.",Carson,"Carson since the last NBC/Wall Street Journal survey in mid-October, and a 2-point decline for Trump",2,LARGER_SPAN,0.9998978700467436,0.8108065481044091
"But while staying out of foreign conflicts has appeal at home to Democrats and Republicans alike – and arguably supports US interests – “it still sacrifices interests that are real, even if they’re limited,” Biddle said.",Biddle,appeal at home to Democrats and Republicans alike – and arguably supports,2,COORDINATION_ERROR,0.9956622223207178,0.7230643345051729
"However, Trump, also a first-time candidate, declined to say whether he would deploy more troops to Syria.",Trump,Trump,1,CORRECT,0.8596707200895889,0.8596707200895889
"The debate’s focus, jobs and the economy, should play to his strength.",his,jobs and the economy,2,COORDINATION_ERROR,0.4770426827152406,0.4192074546163335
"In fact, Carson’s quiet dignity may be precisely what his fans like.",Carson,Carson’s,2,NER_VS_SUBSPAN,0.6459618038669496,0.5278253208737216
"Related: Trump Questions Carson's Faith, Won't Apologize Keep up with this story and more by subscribing now Carson has also benefited from all eyes having been on real estate tycoon Donald Trump, whose bombast is media catnip.",Carson,"Carson has also benefited from all eyes having been on real estate tycoon Donald Trump, whose bombast is media catnip",2,LARGER_SPAN,0.9999981894294464,0.7727808667434383
"Related: Trump Questions Carson's Faith, Won't Apologize Keep up with this story and more by subscribing now Carson has also benefited from all eyes having been on real estate tycoon Donald Trump, whose bombast is media catnip.",Trump,"Carson has also benefited from all eyes having been on real estate tycoon Donald Trump, whose bombast is media catnip",7,LARGER_SPAN,0.9999981894294464,0.3108374650117087
"Carson is known for his calm, soft-spoken demeanor.",Carson,"Carson is known for his calm, soft-spoken demeanor",2,LARGER_SPAN,0.9928682660723546,0.896545516819909
But conservatives in the conference who drove Boehner to resign were not ready to fall in line.,Boehner,Boehner,1,CORRECT,0.7303969232320003,0.7303969232320003
"In another setback for Bush, fellow Florida politician Sen.",Florida,Bush,2,OTHER,0.895428750522352,0.6478459265660421
"Mr. Trump, for months a leading candidate, has now fallen behind in Iowa to Mr. Carson, a retired neurosurgeon, raising questions about how aggressively he will act to reverse his sagging poll numbers.",Mr. Trump,Trump,2,SMALLER_SPAN,0.8488258481579433,0.8286335226858431
"As she gave her testimony, Mrs. Clinton was surrounded by some of her closest longtime aides who served under her at the State Department and now hold key posts in the Clinton campaign.",Clinton,Clinton,1,CORRECT,0.7828766787595284,0.7828766787595284
"However, as Gowdy noted, the State Department has acknowledged that its recordkeeping practices were lax and that emails were not automatically archived during Clinton’s tenure.",Clinton,Clinton,1,CORRECT,0.860300595244091,0.860300595244091
"However, as Gowdy noted, the State Department has acknowledged that its recordkeeping practices were lax and that emails were not automatically archived during Clinton’s tenure.",the State Department,Clinton,4,OTHER,0.860300595244091,0.3166024585213002
"?? Speaking to reporters directly after the marathon testimony session ended, Gowdy stumbled when asked what new things he learned, playing directly into Democrats’ oft-repeated talking point that Clinton’s appearance wouldn’t add much to the record.",Clinton,Clinton,1,CORRECT,0.8286117709199096,0.8286117709199096
"?? Speaking to reporters directly after the marathon testimony session ended, Gowdy stumbled when asked what new things he learned, playing directly into Democrats’ oft-repeated talking point that Clinton’s appearance wouldn’t add much to the record.",Gowdy,Clinton,2,OTHER,0.8286117709199096,0.7346003699785462
"“You know, Mr. Chairman, I’ve said it before, I will say it again: … I communicated with him about certain issues.",him,You,5,OTHER,0.6097936178724346,0.3930557625952872
"The two also tussled on whether Blumenthal’s emails were really “unsolicited,” with Gowdy asking her if she knew the definition of the word.",her,"Blumenthal’s emails were really “unsolicited,” with Gowdy asking her if she knew the definition of the word",4,LARGER_SPAN,0.999922747476892,0.37352754124449156
"Who was Ambassador Stevens supposed to meet in Benghazi, and who was responsible for his security?",Ambassador Stevens,"Stevens supposed to meet in Benghazi, and who was responsible for his security",7,OTHER,0.999765274764256,0.26433936119229534
Gowdy did not attend Abedin's interview.,Gowdy,Abedin,2,OTHER,0.9211427347215776,0.873336865045742
Mr. Gowdy has vehemently denied that characterization and insisted Sunday that Mrs. Clinton will be treated fairly.,Mrs. Clinton,Gowdy,5,OTHER,0.8584892507587378,0.687331840555317
Mrs. Clinton exclusively used a private email server to conduct State Department business during her tenure as secretary.,Mrs. Clinton,Clinton,2,SMALLER_SPAN,0.8071812506512177,0.7595840570753775
Mrs. Clinton exclusively used a private email server to conduct State Department business during her tenure as secretary.,State Department,Clinton,4,OTHER,0.8071812506512177,0.43185579793626255
"""I don’t need anybody’s money,"" he declared when he announced his candidacy in June.",anybody,he,7,OTHER,0.469575867449855,0.17837142230988973
"The Trump campaign raised $3.9 million in the third quarter, not only more than Mr. Paul but also almost as much as Mr. Christie and Mr. Kasich.",Trump,Paul,3,OTHER,0.8576120918428846,0.7852809037213874
"Among presidential candidates who have built top-tier-level campaigns, only Republican Jeb Bush relied more on major donors and less on small donors in the third quarter.",the third quarter,Jeb Bush,10,OTHER,0.8114123742134695,0.0215518918105733
"Like Clinton, Bush initially seemed intent on trying to scare off potential competitors with “shock and awe” fundraising might.",Bush,Bush,1,CORRECT,0.8755643538731053,0.8755643538731053
"In detailing her $29-million haul third quarter haul on Thursday evening, her campaign manager Robbie Mook proclaimed it “a testament to (the) broad support for Hillary Clinton’s vision for America.”",her,Robbie Mook,5,OTHER,0.6917270614991076,0.3783314850072071
"Noting that Mr. Sanders has renounced super PAC support, Mr. Borosage added that he “will never have as much money as Hillary, but what’s clear is that he will have enough money to be competitive.”",Mr. Sanders,Sanders,4,SMALLER_SPAN,0.7877228506676707,0.7085412165546586
Mr. Mulvaney said he would assume the additional role until a permanent successor was found.,Mulvaney,Mulvaney,1,CORRECT,0.7921017223648583,0.7921017223648583
"“Mulvaney has said he is opposed to the very existence of the C.F.P.B., and as a member of Congress he voted in favor of Wall Street banks and predatory lenders — his largest donors — again and again.”",Mulvaney,Mulvaney,1,CORRECT,0.6270499803767716,0.6270499803767716
"“Mulvaney has said he is opposed to the very existence of the C.F.P.B., and as a member of Congress he voted in favor of Wall Street banks and predatory lenders — his largest donors — again and again.”",the C.F.P.B.,Mulvaney,6,OTHER,0.6270499803767716,0.3064286285250276
He def had moment of strength on emails.,He,He,1,CORRECT,0.8404796995103435,0.8404796995103435
"On Sanders, O’Malley, Webb, and Chafee: As for Clinton’s actual sparring partners last night, Sanders was strong on the issues he enjoys talking about (Wall Street, income inequality) and weak on the ones he doesn’t (guns, foreign policy).",Clinton,"Sanders was strong on the issues he enjoys talking about (Wall Street, income inequality) and weak on the ones he doesn’t (guns",3,OTHER,0.9999996241181109,0.8833326910125346
"Some demonstrators chanted ""Murderer Erdogan!""",Erdogan,Some demonstrators,2,OTHER,0.516577278663284,0.2910761977971752
He was in front of an H.D.P. van when the first blast struck.,He,He,1,CORRECT,0.8312921448941245,0.8312921448941245
"While Boehner originally was set to resign at the end of the month, the speaker said in a statement Thursday afternoon he ""will serve as Speaker until the House votes to elect a new Speaker.""",Boehner,the end of the month,2,OTHER,0.8046537872356192,0.7927681662369175
"Amid the backlash over McCarthy's Benghazi remarks, Chaffetz entered the leadership race over the weekend.",McCarthy,"McCarthy's Benghazi remarks, Chaffetz entered the leadership race over the weekend",2,LARGER_SPAN,0.9164658151350793,0.8910116200011208
"One official said Mulvaney would ""show up Monday, go into the office and start working.""",Monday,"Mulvaney would ""show up Monday, go into the office and start working",4,LARGER_SPAN,0.9997571803553735,0.32653408363952147
"One official said Mulvaney would ""show up Monday, go into the office and start working.""",Mulvaney,"Mulvaney would ""show up Monday, go into the office and start working",2,LARGER_SPAN,0.9997571803553735,0.7936482263074427
"“I don’t even think I have to react to that one,” the president said.",the president,I,3,SMALLER_SPAN,0.34209072993545014,0.1897257875281263
"And he alleged that it spent heavily on six-figure executive salaries, travel expenses, ""blowout"" parties with celebrities and political activities.",he,he,1,CORRECT,0.4599298907793646,0.4599298907793646
Bobby Jindal Calls for Senate Leader Mitch McConnell to Resign Next,Senate Leader Mitch McConnell,Senate Leader Mitch McConnell,1,CORRECT,0.8447508840187673,0.8447508840187673
"Boehner's decision, relayed in a closed Republican meeting Friday morning, will indeed set off one of the most intense leadership scrambles in modern congressional GOP politics.",Boehner,Boehner,1,CORRECT,0.8812939490777446,0.8812939490777446
"Boehner, who rose from bartender's son to the most powerful man in Congress, was a classic mix of bravado and puddle of tears on Friday during a press conference announcing his decision to step aside at the end of October.",Boehner,Boehner,1,CORRECT,0.7580809196582153,0.7580809196582153
The speaker floored his GOP caucus early Friday morning when he informed them of his decision in a closed-door session.,his GOP caucus,The speaker,2,OTHER,0.5605141675940131,0.5215226408983384
"The decision by the 13-term Ohio Republican shocked his colleagues, and will soon lead to a leadership battle as well as a special election in Ohio, in already tumultuous times.",his,Ohio,5,OTHER,0.6804906902299658,0.35901021504506575
"He said he would ""sing their praises,"" though, if they stood up to lead, referring to Boehner and McConnell.",they,He,5,OTHER,0.8233606227283479,0.36708440696094785
"Boehner, who was first elected to Congress in 1990, became speaker in 2011.",Boehner,"Boehner, who was first elected to Congress in 1990",2,LARGER_SPAN,0.9977662105672069,0.864405160081576
"""I ask you all, please, to pray for me,'' Francis added, ""and if there are any of you who do not believe, or cannot pray, I ask you please to send good wishes my way.'' By SARAH WHEATON The pope's address to Congress devoted considerable time to the idea of giving people opportunities, and he praised King's campaign for equality for African-Americans, saying ""that dream continues to inspire us all.""",Francis,"Francis added, ""and if there are any of you who do not believe",2,LARGER_SPAN,0.9999206750411563,0.757190256452263
"Late Monday, Rubio was already welcoming Walker staff to his team, as was Sen.",Walker,Rubio,3,OTHER,0.8686086534262795,0.7784942270157212
"Late Monday, Rubio was already welcoming Walker staff to his team, as was Sen.",Rubio,Rubio,1,CORRECT,0.8686086534262795,0.8686086534262795
"Unfortunately, like Walker, on the stump Thompson was frighteningly unprepared, even making embarrassing gaffes about Jews and Israel, and he dropped out in August of 2007.",he,"Thompson was frighteningly unprepared, even making embarrassing gaffes about Jews and Israel",6,OTHER,0.92579952781001,0.3813427436444442
"Unfortunately, like Walker, on the stump Thompson was frighteningly unprepared, even making embarrassing gaffes about Jews and Israel, and he dropped out in August of 2007.",Walker,"Thompson was frighteningly unprepared, even making embarrassing gaffes about Jews and Israel",3,OTHER,0.92579952781001,0.7400276672825833
"You know he's not even an American.""",he,You,2,OTHER,0.8290772445388657,0.7083917259838055
"Trump, who was a driver of the ""birther"" movement that claimed Obama wasn't born in the U.S, first responded with feigned exasperation -- ""We need the question,"" he said, to laughs -- but let the man continue.",Obama,"Obama wasn't born in the U.S, first responded with feigned exasperation -- ""We need the question",2,LARGER_SPAN,0.9998410707985711,0.8268742592114727
"Trump, who was a driver of the ""birther"" movement that claimed Obama wasn't born in the U.S, first responded with feigned exasperation -- ""We need the question,"" he said, to laughs -- but let the man continue.",Trump,"Obama wasn't born in the U.S, first responded with feigned exasperation -- ""We need the question",3,OTHER,0.9998410707985711,0.8230904004129586
Jeb walks back his Margaret Thatcher answer NBC’s Peter Alexander spoke exclusively to Jeb Bush after last night’s debate.,Margaret Thatcher,Jeb,6,OTHER,0.9194233728331165,0.5195355680803796
Here’s one thing we noticed: He seemed to be walking back his answer that he’d put Margaret Thatcher on the $10 bill.,He,He,1,CORRECT,0.7716664245003552,0.7716664245003552
"Trump, Bush, Fiorina: Three questions, three answers at second GOP debate",Bush,Bush,1,CORRECT,0.887642592238103,0.887642592238103
"Two moments to remember: when he stood up to Trump and stood up for his brother (“he kept us safe”); at the end of the debate, when he chose “Eveready” as his Secret Service name (“it’s very high energy, Donald”).",he,Donald,5,OTHER,0.860058477924634,0.43788098879930465
"When Davis refused Bunning's order to issue licenses, the judge declared the clerk in contempt of court and jailed her for five days.",Davis,Davis,1,CORRECT,0.8552719508325912,0.8552719508325912
"When Davis refused Bunning's order to issue licenses, the judge declared the clerk in contempt of court and jailed her for five days.",Bunning,Davis,2,OTHER,0.8552719508325912,0.750324553647527
"Since Bunning first ordered Davis to issue the marriage licenses, the clerk and her attorneys have made several attempts to legally get around it.",Bunning,Davis,2,OTHER,0.847713827045685,0.5676540318850392
"But Ms. Davis refused to comply and was subsequently jailed; she was set free after five nights and after her deputy clerks began issuing licenses, and Judge Bunning ordered that she not interfere.",Judge Bunning,Davis,5,OTHER,0.8477694382771971,0.5354708661014466
Donald Trump Gets Rock Star Greeting in Iowa,Donald Trump,Donald Trump,1,CORRECT,0.8769068289036194,0.8769068289036194
Donald Trump Gets Rock Star Greeting in Iowa,Iowa,Donald Trump,2,OTHER,0.8769068289036194,0.7130140566795066
"Mr. Rubio made a better impression on Evan Monson, an Iowa State junior, who praised him for hanging out at the Sigma Pi fraternity tailgate party.",Mr. Rubio,"Rubio made a better impression on Evan Monson, an Iowa State junior",3,OTHER,0.9995068543210593,0.837533068897733
"Mr. Rubio made a better impression on Evan Monson, an Iowa State junior, who praised him for hanging out at the Sigma Pi fraternity tailgate party.",Iowa,"Rubio made a better impression on Evan Monson, an Iowa State junior",8,LARGER_SPAN,0.9995068543210593,0.6754169960562468
He visited the growers’ tent and strolled the parking lots with a more manageable level of attention than Mr. Trump.,He,He,1,CORRECT,0.8226365924933075,0.8226365924933075
"“Trump has an edge on leadership, but Carson has a 20-point margin when it comes to having the right temperament and personality to handle an international crisis.”",Carson,Carson,1,CORRECT,0.8151847698703152,0.8151847698703152
"Mr. Trump was at 27 percent support, followed by Mr. Carson at 21 percent and Sen.",Mr. Trump,Trump,2,SMALLER_SPAN,0.8671023806779145,0.8616256726225779
Mr. Perry said in his prepared remarks that he leaves the race “a blessed man.”,Perry,Perry,1,CORRECT,0.8682083388228582,0.8682083388228582
"Perry told The Huffington Post in April he felt more prepared this time around, even with less bells and whistles surrounding his presidential efforts.",Perry,Perry,1,CORRECT,0.8852237738855993,0.8852237738855993
"Perry told The Huffington Post in April he felt more prepared this time around, even with less bells and whistles surrounding his presidential efforts.",The Huffington Post,Perry,2,OTHER,0.8852237738855993,0.45606989562392064
"""What we will try to do is try to get support from people who supported him, and any other candidate that's next moving forward,"" Walker said.",Walker,Walker,1,CORRECT,0.5640182202706423,0.5640182202706423
Donald Trump and Ted Cruz Lead Anti-Iran Deal Rally,Iran,Ted Cruz Lead Anti-,14,NER_VS_SUBSPAN,0.9296914565468299,0.20347533773554552
Some Republicans insist that Franken must resign but say that the people of Alabama should decide what to do about Moore.,Franken,Moore,2,OTHER,0.7882455544076322,0.5692858015045801
“He has to make a really difficult decision.,He,He,1,CORRECT,0.6765632769128035,0.6765632769128035
"Clinton then did utter the word ""sorry,"" but seemed to turn the blame on others for not understanding the ins and outs of the scandal.",Clinton,Clinton,1,CORRECT,0.8445449435903748,0.8445449435903748
"Clinton then did utter the word ""sorry,"" but seemed to turn the blame on others for not understanding the ins and outs of the scandal.",the scandal,Clinton,7,OTHER,0.8445449435903748,0.11939308954893467
"In the interview, Mitchell also asked Clinton how she feels that a Quinnipiac poll found that the first words that came to mind among voters when asked about her were “liar,” “untrustworthy” and “crooked.""",Clinton,Clinton,1,CORRECT,0.7767165073896743,0.7767165073896743
"“At the end of the day, I am sorry that this has been confusing to people and has raised a lot of questions, but there are answers to all these questions and I will continue to provide those answers,” Clinton told MSNBC’s Andrea Mitchell.",Clinton,the end of the day,2,OTHER,0.8619924646929737,0.6795651942510605
"Her office was dark Friday morning as the license was issued to Mr. Yates and Mr. Smith, with a sheriff’s deputy standing guard in front of it.",Yates,"Yates and Mr. Smith, with a sheriff’s deputy standing guard in front of it",3,LARGER_SPAN,0.9999009039114999,0.8380084898188157
"It is a Heaven or Hell decision"" \- Kim Davis Davis' office has steadfastly denied marriage licenses since the Supreme Court legalized gay marriage this summer, and that practice continued Tuesday morning when at least two same-sex couples were denied as Davis invoked ""God's authority.""",Davis,\- Kim Davis Davis,5,LARGER_SPAN,0.877988661045005,0.7137680959699487
Here's raw footage of the confrontation. http://goo.gl/jYNVXo UPDATE: The lawyers for the same-sex couples who originally sued Davis filed a motion Tuesday to hold the county clerk in contempt of court for refusing to issue them a marriage license.,the county clerk,Davis,9,OTHER,0.7934441157295776,0.0956370935590714
"Sanders has nearly doubled his support, garnering 30 percent in the poll.",Sanders,Sanders,1,CORRECT,0.8010156812613404,0.8010156812613404
"Without Biden in the race, his supporters break a little more than evenly for Hillary, putting her just 8 points ahead of Sanders, 43-35 percent.",Hillary,"Hillary, putting her just 8 points ahead of Sanders",2,LARGER_SPAN,0.9857305705310999,0.777050450411351
"""We have fond memories of his last visit,"" said Arthur Hardy, a 1965 Warren Easton graduate who became a celebrity in New Orleans for his expertise in all things Mardi Gras.",his,Arthur Hardy,7,OTHER,0.6866885827334176,0.3740275370490437
"Such racial divides are braided through this city’s history like Creole and jambalaya, a past that Mr. Obama celebrated as he toured a series of new pastel-colored homes in a district, Tremé, that he said was a birthplace of jazz and one of the most important African-American communities in the country.",Mr. Obama,Obama,3,SMALLER_SPAN,0.7983476423204093,0.716594969256527
"Mr. Flanagan, 41, who went by the name Bryce Williams in recent years, had not been convicted of a crime or adjudicated mentally ill, so he apparently passed a background check in June, when he bought the Glock 19 handgun used in the killings.",he,"Bryce Williams in recent years, had not been convicted of a crime or adjudicated mentally ill",9,OTHER,0.9999548173858975,0.3611682943562401
And a Quinnipiac Poll showed Biden running strong in head-to-head match-ups with Republican candidates in key states.,Biden,Biden,1,CORRECT,0.853748465720078,0.853748465720078
Warren has so far decline.,Warren,Warren,1,CORRECT,0.8937842038156714,0.8937842038156714
"Earlier this year, campaign-watchers focused on Warren and whether she would challenge Clinton, prompting a vibrant ""Draft Warren"" movement that fizzled after she repeatedly declined to enter the race.",Clinton,Clinton,1,CORRECT,0.754463037068434,0.754463037068434
"Despite many entreaties, Warren has declined to make an official endorsement in the 2016 race, and she is not a natural ally for Biden or Clinton.",Biden,"Warren has declined to make an official endorsement in the 2016 race, and she is not a natural ally for Biden or Clinton",3,LARGER_SPAN,0.9999999984114909,0.8200061555060774
"Biden, who has begun to explore a possible presidential campaign in recent weeks, made the trip Saturday from his home in Wilmington, Del., to his official residence at the Naval Observatory in Washington to meet Warren, who has become an icon to liberal activists who view financial institutions as wielding too much clout in the corridors of power.",Biden,"Biden, who has begun to explore a possible presidential campaign in recent weeks",2,LARGER_SPAN,0.9982160344865892,0.8775667375823666
"Biden, who has begun to explore a possible presidential campaign in recent weeks, made the trip Saturday from his home in Wilmington, Del., to his official residence at the Naval Observatory in Washington to meet Warren, who has become an icon to liberal activists who view financial institutions as wielding too much clout in the corridors of power.",Warren,"Biden, who has begun to explore a possible presidential campaign in recent weeks",3,OTHER,0.9982160344865892,0.6870080530144689
"""I plan to teach Sunday school this Sunday -- and every Sunday as long as I'm physically and mentally able,"" Carter said.",Carter,Carter,1,CORRECT,0.8107617777660052,0.8107617777660052
"[Former president Jimmy Carter, 90, announces that he has cancer] He noted that the well wishes have poured in from President Barack Obama and the first family, as well as all of the living former presidents.",Jimmy Carter,"Barack Obama and the first family, as well as all of the living former presidents",5,OTHER,0.999953191378734,0.6907557857118414
Bar and I are wishing him the very best as he fights the good fight.,him,he,2,OTHER,0.4842675878980248,0.44233468771862877
"In a frank discussion with reporters, Carter said he is “in the hands of God” and feels “prepared for anything that comes.”",Carter,God,2,OTHER,0.8572438497261551,0.8259750539466819
"Unlike his key Democratic opponent whom he refuses to bash, Sanders appears both honest and trustworthy.",Sanders,Sanders,1,CORRECT,0.8041832955886622,0.8041832955886622
"Obama wanted to be a Reagan of the left, a ""transformative"" president who moved the magnetic poles of American politics leftward.",Obama,Obama,1,CORRECT,0.8874378655387243,0.8874378655387243
"“Apparently Mr. Trump thought the question was unfair and I was attacking him,” “The Kelly File” host told viewers Monday.",Kelly,"Trump thought the question was unfair and I was attacking him,” “The Kelly File” host told viewers Monday",12,LARGER_SPAN,0.9999982289228652,0.30416722934989443
"Mr. Harris was a friend of Mr. Brown’s, Ms. Drisdel said, and he graduated from the same high school, Normandy, this year.",Mr. Harris,"Drisdel said, and he graduated from the same high school",6,OTHER,0.9968352438218462,0.8188071935471116
